秒杀商品,价格,折扣,开始时间
中国四大古典名著连环画 上海人民美术出版社建社65周年纪念珍藏版 （全136册）,715,6.2折,18:00
泉舍（QUANSHE） 铁棍山药红豆薏米粉2罐装500g祛湿气代餐粉五谷薏仁粉薏米红豆粉谷物早餐冲泡,59.8,6.7折,18:00
【京东超值秒杀 2件8折】贵州茅台集团白金酒公司 52度浓香型高度白酒500ml 白酒整箱 白金钻石酒一箱6瓶（含三个礼品袋）,999,4.0折,18:00
斯诺威登（RUNOSD）女士手表全自动镂空机械表陶瓷表夜光防水8199L 玫瑰金,2600,5.2折,18:00
婉睿杭州真丝连衣裙2018夏装新品淑女原宿风五分袖桑蚕丝中长款A裙子女装 孔雀绿 L推荐体重108至118,830,4.2折,18:00
【赞商品】双鱼DOUBLE FISH 乒乓球桌室内家用移动折叠带轮乒乓球台  JD200 赠网架,1599,8.7折,18:00
亚当贝尔 24-27英寸一体机电脑 四核/酷睿八代I3/i5/i7办公家用游戏台式机电脑整机微边大屏 24英寸/酷睿i5/8G/128G(办公推荐）,1999,9.5折,18:00
阿尔郎（AERLANG） 阿尔郎 智能自平衡电动平衡车儿童两轮成人代步车体感车 X3蓝星空【APP控制+自平衡+蓝牙音乐】,1699,3.5折,18:00
KARCHER卡赫 蒸汽拖把拖地机 德国原装进口速热型蒸汽清洁机 杀菌除螨去油污 凯驰集团SC3 豪华版,1870,9.1折,18:00
大众汽车燃油宝除积碳清洗剂汽油添加剂g17燃油宝添加剂 6瓶装,240,7.1折,18:00
美洛帝 宠物狗粮 泰迪金毛萨摩耶阿拉斯加拉布拉多 10kg20斤 成犬,95,5.8折,18:00
【多款可选 2件减5元】九洲鹿卡通亚麻风格抱枕沙发靠垫办公室靠枕床头靠背汽车护腰靠垫腰枕 可爱猫(亚麻风格) 45*45cm (套子+芯),59,3.4折,18:00
俞兆林 电热护膝盐袋子保暖老寒腿关节炎滑膜炎艾灸膝盖热敷理疗仪电加热海盐热敷艾盐包 粗盐护膝一对,298,3.3折,18:00
飞利浦（PHILIPS）50英寸 4K超高清 HDR功能 网络智能WiFi 液晶平板电视机 海量应用 标配底座,2099,9.0折,18:00
碧然德BRITA Aluna XL过滤净水壶3.5升 蓝色 一壶七芯,269,8.9折,18:00
鲜婆湾  英国熟冻面包蟹 800-600g*2只  袋装 大螃蟹,158.8,8.7折,18:00
完美小孩全5册做最好的自己彩绘注音版儿童读物7-10岁一二三年级小学生课外书励志书籍青少年儿童文学,60,3.4折,18:00
力士(LUX)春日桃花沁香洗发乳750mlx2送春日桃花洗发乳100mlx2+水润丝滑柔亮润发精华素100mlx2,151.8,4.9折,18:00
金龙珠宝 AU9999投资金条 黄金金条足金金砖金块 理财收藏送礼 GG018D 10克（款式一）,5000,5.5折,18:00
沃疆 和田核桃418gx2袋 新疆特产薄皮生核桃 纸皮手捏即开 大果粒 坚果炒货休闲零食,99,3.6折,18:00
【砀山馆】皇冠梨砀山百年青梨树2018年现摘原产地发货 皇冠梨5斤装,39.9,5.0折,18:00
鹰格龙 64g苹果u盘128g电脑手机两用iphone手机u盘 苹果安卓双用多功能优盘32G 苹果手机u盘/安卓手机优盘 双用 容量32G,220,4.5折,18:00
赛尼可 奥利司他胶囊0.12g*21粒（原研进口 瘦身排油 减脂减重 减肥药）(有效期至2018年8月31日）,150,3.2折,18:00
【爆款10件套 特惠限量秒】【美妆盛宴 买3免1】香水+红石榴新系列套装深度修护滋养水润控油保湿清洁 新系列红石榴护肤套装10件套,598,0.9折,18:00
【海外直邮】美国SENBOWE 回音壁声霸蓝牙音响 TV无线家居低音炮插卡 通话手机电脑平板蓝牙音箱 银色,299,3.4折,18:00
【夏日定制版 品牌直降】品质男鞋 时尚透气潮鞋 户外登山鞋 运动网面网布鞋 舒适旅游鞋 灰色 40,426,3.3折,18:00
